No.,Lokasi,tanggal,Minyak_Goreng_Kemasan,Minyak_Goreng_Curah,Kelapa_Sawit
1,Jawa Timur,4/21/2022,24.25,17.82,2661
2,Jawa Timur,4/22/2022,24.26,17.96,2886
3,Jawa Timur,4/23/2022,24.52,17.51,2573
4,Jawa Timur,4/24/2022,24.54,17.71,2492
5,Jawa Timur,4/25/2022,24.27,17.65,2212
6,Jawa Timur,4/26/2022,24.2,17.29,2082
7,Jawa Timur,4/27/2022,24.15,17.36,1989
8,Jawa Timur,4/28/2022,23.82,17.42,1989
9,Jawa Timur,4/29/2022,24.3,17.11,1924
10,Jawa Timur,4/30/2022,24.15,17.29,1978
11,Jawa Timur,5/1/2022,23.73,17.12,1752
12,Jawa Timur,5/2/2022,24.36,16.95,1733
13,Jawa Timur,5/3/2022,24.22,17.01,1744
14,Jawa Timur,5/4/2022,24.17,16.9,1750
15,Jawa Timur,5/5/2022,24.17,16.84,1747
16,Jawa Timur,5/6/2022,24.12,16.91,1676
17,Jawa Timur,5/7/2022,24.09,17.04,1713
18,Jawa Timur,5/8/2022,24.16,16.72,1748
19,Jawa Timur,5/9/2022,24.11,16.8,1616
20,Jawa Timur,5/10/2022,24.12,16.82,1636
21,Jawa Timur,5/11/2022,24.22,16.92,1614
22,Jawa Timur,5/12/2022,24.12,16.72,1604
23,Jawa Timur,5/13/2022,23.99,16.71,1838
24,Jawa Timur,5/14/2022,24.11,16.61,1527
25,Jawa Timur,5/15/2022,24.31,16.76,1619
26,Jawa Timur,5/16/2022,24.2,16.82,1513
27,Jawa Timur,5/17/2022,24.01,16.59,1538
28,Jawa Timur,5/18/2022,23.96,16.85,1530
29,Jawa Timur,5/19/2022,24.27,16.69,1548
30,Jawa Timur,5/20/2022,23.8,16.57,1535
31,Jawa Timur,5/21/2022,23.99,16.64,1537
32,Jawa Timur,5/22/2022,24.01,16.67,1646
33,Jawa Timur,5/23/2022,24.07,16.71,1632
34,Jawa Timur,5/24/2022,24.02,16.52,1605
